id,name,category
925347460,Xhamia Billushë,place_of_worship
925347550,Xhamia Poslishtë,place_of_worship
925348101,Xhamia Poslishtë,place_of_worship
925350371,Xhamia Vlashnjë,place_of_worship
929187735,Пресвета Богородица,place_of_worship
929292719,Св. Петка,place_of_worship
930966130,Св. Георгиј,place_of_worship
934941784,Св. Недела,place_of_worship
935876851,Св. Василиј,place_of_worship
953826670,Свети Климент,place_of_worship
957145712,Долна џамија,place_of_worship
957145713,Горна џамија,place_of_worship
961560036,Св. Атанасиј Велики,place_of_worship
961560037,Собор на Сите Македонски Светители,place_of_worship
961568440,Св. Петар и Св. Павле / Собор на Светите Апостоли,place_of_worship
961569547,Св. Пантелејмон,place_of_worship
981839456,Св. Атанасиј Велики,place_of_worship
981839457,Пресвета Богородица,place_of_worship
981848706,Св. Атанасиј,place_of_worship
982006630,Св. Петка,place_of_worship
991653424,Св. Петар и Павле,place_of_worship
1003412616,Sveti Nikola Bolnički,place_of_worship
1010776749,Црква „Св. Апостоли Петар и Павле“,place_of_worship
1014254828,Манастир Св.Илија Петти Кладенци,place_of_worship
1023711400,Џамија Мустафа Челеби,place_of_worship
1041564193,Манастир Св. Арханѓел Гаврил,place_of_worship
1044295873,Св. Јован Крстител,place_of_worship
1044716335,Св. Никола,place_of_worship
1047511353,Св. Атанасиј Велики,place_of_worship
1047511359,Пресвета Богородица,place_of_worship
1047603396,Св. Георгиј,place_of_worship
1047603400,Баталоска,place_of_worship
1047603401,Долна,place_of_worship
1047603409,Св. Троица,place_of_worship
1047622464,Св. Спас,place_of_worship
1047622473,Св. Теодор Тирон,place_of_worship
1050777116,Св. Атанасиј Велики,place_of_worship
1054069254,Св. Атанасиј,place_of_worship
1054069256,Св. Архангел Михаил,place_of_worship
1054082250,Нова Џамија,place_of_worship
1054098590,Св. Атанасиј Велики,place_of_worship
1054098597,Св. Никола,place_of_worship
1054257657,Рождество на Пресвета Богородица,place_of_worship
1054257660,Св. Димитриј Солунски,place_of_worship
1054257665,Св. Никола,place_of_worship
1054257669,Св. Атанасиј Велики,place_of_worship
1054290155,Нова Џамија,place_of_worship
1054290160,Стара Џамија,place_of_worship
1054290173,Св. Никола,place_of_worship
1054395723,Св. Троица,place_of_worship
1054395737,Св. Никола,place_of_worship
1055614742,Св. Георгиј,place_of_worship
1055731606,Св. Атанасиј,place_of_worship
1055765340,Св. Атанасиј Велики,place_of_worship
1056108814,Св. Атанасиј,place_of_worship
1056108819,Воведение на Пресвета Богородица,place_of_worship
1058178658,Св. Пантелејмон,place_of_worship
1063535409,Xhamia e Epërme e Brodit,place_of_worship
1070850326,Пресвето Срце Исусово,place_of_worship
1074008427,Храм Свети Климент Охридски и Света Петка,place_of_worship
1074821589,"Храм ""Св. св. Кирил и Методий""",place_of_worship
1077430374,Църква „Свети свети Петър и Павел“,place_of_worship
1079713826,Црква Св. Никола Летен,place_of_worship
1081386001,Св. Троица,place_of_worship
1082311580,Св. св. Петър и Павел,place_of_worship
1083221703,Xhamia Hixhri,place_of_worship
1083221707,Xhamia e Madhe,place_of_worship
1083437725,Xhamia e Kalishtit,place_of_worship
1083507077,Xhamia e Gjurgjevishtit,place_of_worship
1098716024,Св. Никола,place_of_worship
1099495460,Успение на Пресвета Богородица,place_of_worship
1102958064,Св. Троица,place_of_worship
